id solution fitness
549 1010010001 8
550 0110010001 14
551 1110010001 6
552 0001010001 40
553 1001010001 20
554 0101010001 26
555 1101010001 6
556 0011010001 20
557 1011010001 0
558 0111010001 6
559 1111010001 14
560 0000110001 20
561 1000110001 0
562 0100110001 6
563 1100110001 14
564 0010110001 0
565 1010110001 20
566 0110110001 14
567 1110110001 34
568 0001110001 12
569 1001110001 8
570 0101110001 2
571 1101110001 22
572 0011110001 8
573 1011110001 28
574 0111110001 22
575 1111110001 42
576 0000001001 54
577 1000001001 34
578 0100001001 40
579 1100001001 20
580 0010001001 34
581 1010001001 14
582 0110001001 20
583 1110001001 0
584 0001001001 46
585 1001001001 26
586 0101001001 32
587 1101001001 12
588 0011001001 26
589 1011001001 6
590 0111001001 12
591 1111001001 8
592 0000101001 26
593 1000101001 6
594 0100101001 12
595 1100101001 8
596 0010101001 6
597 1010101001 14
598 0110101001 8
599 1110101001 28
600 0001101001 18
601 1001101001 2
602 0101101001 4
603 1101101001 16
604 0011101001 2
605 1011101001 22
606 0111101001 16
607 1111101001 36
608 0000011001 26
609 1000011001 6
610 0100011001 12
611 1100011001 8
612 0010011001 6
613 1010011001 14
614 0110011001 8
615 1110011001 28
616 0001011001 18
617 1001011001 2
618 0101011001 4
619 1101011001 16
620 0011011001 2
621 1011011001 22
622 0111011001 16
623 1111011001 36
624 0000111001 2
625 1000111001 22
626 0100111001 16
627 1100111001 36
628 0010111001 22
629 1010111001 42
630 0110111001 36
631 1110111001 56
632 0001111001 10
633 1001111001 30
634 0101111001 24
635 1101111001 44
636 0011111001 30
637 1011111001 50
638 0111111001 44
639 1111111001 64
640 0000000101 70
641 1000000101 50
642 0100000101 56
643 1100000101 36
644 0010000101 50
645 1010000101 30
646 0110000101 36
647 1110000101 16
648 0001000101 62
649 1001000101 42
650 0101000101 48
651 1101000101 28
652 0011000101 42
653 1011000101 22
654 0111000101 28
655 1111000101 8
656 0000100101 42
657 1000100101 22
658 0100100101 28
659 1100100101 8
660 0010100101 22
661 1010100101 2
662 0110100101 8
663 1110100101 12
664 0001100101 34
665 1001100101 14
666 0101100101 20
667 1101100101 0
668 0011100101 14
669 1011100101 6
670 0111100101 0
671 1111100101 20
672 0000010101 42
673 1000010101 22
674 0100010101 28
675 1100010101 8
676 0010010101 22
677 1010010101 2
678 0110010101 8
679 1110010101 12
680 0001010101 34
681 1001010101 14
682 0101010101 20
683 1101010101 0
684 0011010101 14
685 1011010101 6
686 0111010101 0
687 1111010101 20
688 0000110101 14
689 1000110101 6
690 0100110101 0
691 1100110101 20
692 0010110101 6
693 1010110101 26
694 0110110101 20
695 1110110101 40
696 0001110101 6
697 1001110101 14
698 0101110101 8
699 1101110101 28
700 0011110101 14
701 1011110101 34
702 0111110101 28
703 1111110101 48
704 0000001101 48
705 1000001101 28
706 0100001101 34
707 1100001101 14
708 0010001101 28
709 1010001101 8
710 0110001101 14
711 1110001101 6
712 0001001101 40
713 1001001101 20
714 0101001101 26
715 1101001101 6
716 0011001101 20
717 1011001101 0
718 0111001101 6
719 1111001101 14
720 0000101101 20
721 1000101101 0
722 0100101101 6
723 1100101101 14
724 0010101101 0
725 1010101101 20
726 0110101101 14
727 1110101101 34
728 0001101101 12
729 1001101101 8
730 0101101101 2
731 1101101101 22
732 0011101101 8
733 1011101101 28
734 0111101101 22
735 1111101101 42
736 0000011101 20
737 1000011101 0
738 0100011101 6
739 1100011101 14
740 0010011101 0
741 1010011101 20
742 0110011101 14
743 1110011101 34
744 0001011101 12
745 1001011101 8
746 0101011101 2
747 1101011101 22
748 0011011101 8
749 1011011101 28
750 0111011101 22
751 1111011101 42
752 0000111101 8
753 1000111101 28
754 0100111101 22
755 1100111101 42
756 0010111101 28
757 1010111101 48
758 0110111101 42
759 1110111101 62
760 0001111101 16
761 1001111101 36
762 0101111101 30
763 1101111101 50
764 0011111101 36
765 1011111101 56
766 0111111101 50
767 1111111101 70
768 0000000011 58
769 1000000011 38
770 0100000011 44
771 1100000011 24
772 0010000011 38
773 1010000011 18
774 0110000011 24
775 1110000011 4
776 0001000011 50
777 1001000011 30
778 0101000011 36
779 1101000011 16
780 0011000011 30
781 1011000011 10
782 0111000011 16
783 1111000011 4
784 0000100011 30
785 1000100011 10
786 0100100011 16
787 1100100011 4
788 0010100011 10
789 1010100011 10
790 0110100011 4
791 1110100011 24
792 0001100011 22
793 1001100011 2
794 0101100011 8
795 1101100011 12
796 0011100011 2
797 1011100011 18
798 0111100011 12
799 1111100011 32
800 0000010011 30
801 1000010011 10
802 0100010011 16
803 1100010011 4
804 0010010011 10
805 1010010011 10
806 0110010011 4
807 1110010011 24
808 0001010011 22
809 1001010011 2
810 0101010011 8
811 1101010011 12
812 0011010011 2
813 1011010011 18
814 0111010011 12
815 1111010011 32
816 0000110011 2
817 1000110011 18
818 0100110011 12
819 1100110011 32
820 0010110011 18
821 1010110011 38
822 0110110011 32
823 1110110011 52
824 0001110011 6
825 1001110011 26
826 0101110011 20
827 1101110011 40
828 0011110011 26
829 1011110011 46
830 0111110011 40
831 1111110011 60
832 0000001011 36
833 1000001011 16
834 0100001011 22
835 1100001011 2
836 0010001011 16
837 1010001011 4
838 0110001011 2
839 1110001011 18
840 0001001011 28
841 1001001011 8
842 0101001011 14
843 1101001011 6
844 0011001011 8
845 1011001011 12
846 0111001011 6
847 1111001011 26
848 0000101011 8
849 1000101011 12
850 0100101011 6
851 1100101011 26
852 0010101011 12
853 1010101011 32
854 0110101011 26
855 1110101011 46
856 0001101011 0
857 1001101011 20
858 0101101011 14
859 1101101011 34
860 0011101011 20
861 1011101011 40
862 0111101011 34
863 1111101011 54
864 0000011011 8
865 1000011011 12
866 0100011011 6
867 1100011011 26
868 0010011011 12
869 1010011011 32
870 0110011011 26
871 1110011011 46
872 0001011011 0
873 1001011011 20
874 0101011011 14
875 1101011011 34
876 0011011011 20
877 1011011011 40
878 0111011011 34
879 1111011011 54
880 0000111011 20
881 1000111011 40
882 0100111011 34
883 1100111011 54
884 0010111011 40
885 1010111011 60
886 0110111011 54
887 1110111011 74
888 0001111011 28
889 1001111011 48
890 0101111011 42
891 1101111011 62
892 0011111011 48
893 1011111011 68
894 0111111011 62
895 1111111011 82
896 0000000111 52
897 1000000111 32
898 0100000111 38
899 1100000111 18
900 0010000111 32
901 1010000111 12
902 0110000111 18
903 1110000111 2
904 0001000111 44
905 1001000111 24
906 0101000111 30
907 1101000111 10
908 0011000111 24
909 1011000111 4
910 0111000111 10
911 1111000111 10
912 0000100111 24
913 1000100111 4
914 0100100111 10
915 1100100111 10
916 0010100111 4
917 1010100111 16
918 0110100111 10
919 1110100111 30
920 0001100111 16
921 1001100111 4
922 0101100111 2
923 1101100111 18
924 0011100111 4
925 1011100111 24
926 0111100111 18
927 1111100111 38
928 0000010111 24
929 1000010111 4
930 0100010111 10
931 1100010111 10
932 0010010111 4
933 1010010111 16
934 0110010111 10
935 1110010111 30
936 0001010111 16
937 1001010111 4
938 0101010111 2
939 1101010111 18
940 0011010111 4
941 1011010111 24
942 0111010111 18
943 1111010111 38
944 0000110111 4
945 1000110111 24
946 0100110111 18
947 1100110111 38
948 0010110111 24
949 1010110111 44
950 0110110111 38
951 1110110111 58
952 0001110111 12
953 1001110111 32
954 0101110111 26
955 1101110111 46
956 0011110111 32
957 1011110111 52
958 0111110111 46
959 1111110111 66
960 0000001111 30
961 1000001111 10
962 0100001111 16
963 1100001111 4
964 0010001111 10
965 1010001111 10
966 0110001111 4
967 1110001111 24
968 0001001111 22
969 1001001111 2
970 0101001111 8
971 1101001111 12
972 0011001111 2
973 1011001111 18
974 0111001111 12
975 1111001111 32
976 0000101111 2
977 1000101111 18
978 0100101111 12
979 1100101111 32
980 0010101111 18
981 1010101111 38
982 0110101111 32
983 1110101111 52
984 0001101111 6
985 1001101111 26
986 0101101111 20
987 1101101111 40
988 0011101111 26
989 1011101111 46
990 0111101111 40
991 1111101111 60
992 0000011111 2
993 1000011111 18
994 0100011111 12
995 1100011111 32
996 0010011111 18
997 1010011111 38
998 0110011111 32
999 1110011111 52
1000 0001011111 6
1001 1001011111 26
1002 0101011111 20
1003 1101011111 40
1004 0011011111 26
1005 1011011111 46
1006 0111011111 40
1007 1111011111 60
1008 0000111111 26
1009 1000111111 46
1010 0100111111 40
1011 1100111111 60
1012 0010111111 46
1013 1010111111 66
1014 0110111111 60
1015 1110111111 80
1016 0001111111 34
1017 1001111111 54
1018 0101111111 48
1019 1101111111 68
1020 0011111111 54
1021 1011111111 74
1022 0111111111 68
1023 1111111111 88
